10.1.1.3. Daily average allocated time of the population aged 15–74 by age groups and sex [minute/head];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Activity;15–19 year-old males 1986/1987;15–19 year-old males 1999/2000;15–19 year-old males 2009/2010;15–19 year-old males 2024/2025;15–19 year-old females 1986/1987;15–19 year-old females 1999/2000;15–19 year-old females 2009/2010;15–19 year-old females 2024/2025;15–19 year-old total 1986/1987;15–19 year-old total 1999/2000;15–19 year-old total 2009/2010;15–19 year-old total 2024/2025;20–29 year-old males 1986/1987;20–29 year-old males 1999/2000;20–29 year-old males 2009/2010;20–29 year-old males 2024/2025;20–29 year-old females 1986/1987;20–29 year-old females 1999/2000;20–29 year-old females 2009/2010;20–29 year-old females 2024/2025;20–29 year-old total 1986/1987;20–29 year-old total 1999/2000;20–29 year-old total 2009/2010;20–29 year-old total 2024/2025;30–39 year-old males 1986/1987;30–39 year-old males 1999/2000;30–39 year-old males 2009/2010;30–39 year-old males 2024/2025;30–39 year-old females 1986/1987;30–39 year-old females 1999/2000;30–39 year-old females 2009/2010;30–39 year-old females 2024/2025;30–39 year-old total 1986/1987;30–39 year-old total 1999/2000;30–39 year-old total 2009/2010;30–39 year-old total 2024/2025;40–49 year-old males 1986/1987;40–49 year-old males 1999/2000;40–49 year-old males 2009/2010;40–49 year-old males 2024/2025;40–49 year-old females 1986/1987;40–49 year-old females 1999/2000;40–49 year-old females 2009/2010;40–49 year-old females 2024/2025;40–49 year-old total 1986/1987;40–49 year-old total 1999/2000;40–49 year-old total 2009/2010;40–49 year-old total 2024/2025;50–59 year-old males 1986/1987;50–59 year-old males 1999/2000;50–59 year-old males 2009/2010;50–59 year-old males 2024/2025;50–59 year-old females 1986/1987;50–59 year-old females 1999/2000;50–59 year-old females 2009/2010;50–59 year-old females 2024/2025;50–59 year-old total 1986/1987;50–59 year-old total 1999/2000;50–59 year-old total 2009/2010;50–59 year-old total 2024/2025;60–74 year-old males 1986/1987;60–74 year-old males 1999/2000;60–74 year-old males 2009/2010;60–74 year-old males 2024/2025;60–74 year-old females 1986/1987;60–74 year-old females 1999/2000;60–74 year-old females 2009/2010;60–74 year-old females 2024/2025;60–74 year-old total 1986/1987;60–74 year-old total 1999/2000;60–74 year-old total 2009/2010;60–74 year-old total 2024/2025
Socially fixed activities;450;400;401;406;480;445;411;442;464;421;406;424;539;483;430;509;584;514;488;513;563;498;458;510;581;522;508;563;625;589;567;593;602;556;537;578;569;501;499;543;632;571;565;593;602;535;532;568;539;443;432;542;553;495;483;575;545;472;459;559;384;317;286;397;433;376;372;405;412;352;337;401
Income producing activity;164;55;30;36;122;51;19;32;143;53;25;34;349;279;212;242;197;183;138;182;275;232;175;213;402;335;301;309;272;213;183;223;338;275;242;267;408;334;299;299;323;254;249;243;364;293;274;271;390;285;233;300;243;189;177;261;312;234;203;280;234;155;100;137;129;82;60;59;174;112;76;93
Of which:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
main job;111;24;14;35;93;39;15;31;102;31;14;33;277;242;188;237;160;164;130;175;220;204;159;207;314;268;278;303;221;184;166;220;268;227;223;263;296;258;263;290;243;210;222;237;269;233;242;264;251;189;191;294;119;122;141;257;180;154;165;275;22;28;33;126;6;8;20;53;13;16;25;85
agricultural activity (for own household);24;15;7;0;11;6;2;0;18;11;5;0;33;19;12;1;20;9;2;2;27;14;7;2;44;40;13;0;33;17;9;1;38;29;11;0;69;52;22;4;53;29;15;3;61;40;19;3;94;70;30;2;74;43;20;2;83;56;24;2;140;108;50;9;79;58;28;5;105;78;37;7
Learning, self-education;151;222;229;217;159;236;225;212;155;229;227;214;26;52;58;62;23;61;77;34;25;56;67;49;7;7;8;4;6;7;7;7;6;7;7;5;3;4;4;2;3;3;4;7;3;3;4;5;2;2;1;2;0;1;2;5;1;2;1;4;1;1;1;1;0;0;1;2;1;1;1;2
Of which:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
formal education;145;210;219;208;155;228;212;207;150;219;216;208;23;45;48;57;21;54;67;32;22;49;58;45;5;4;5;3;4;5;4;4;4;5;5;3;2;2;1;1;1;2;2;5;2;2;2;3;1;1;0;2;0;1;1;3;0;1;0;3;1;0;0;0;0;0;0;1;0;0;0;1
self-education;5;12;10;7;4;8;13;4;5;10;11;6;3;6;10;4;2;7;9;2;3;7;9;3;2;3;2;1;2;2;2;1;2;2;2;1;1;2;2;1;1;1;2;2;1;2;2;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1
Household work, works around the house;36;34;31;35;97;63;64;69;66;48;47;52;53;46;45;62;186;124;115;123;118;85;79;91;62;63;70;88;212;206;184;139;136;134;127;113;68;72;83;91;216;211;196;177;144;142;140;134;66;76;106;116;233;219;208;182;154;152;160;149;80;90;110;151;242;227;233;240;173;171;183;201
